road_key,canonical_display_name,alias_name,source_system,alias_role
HSS-KAB-087,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali,Tanjungan - SP.10 Batang Kulur - Sungai Kali,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-088,Sungai Raya Selatan - Sarang Halang,Sungai Raya Selatan - Sarang Halang,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-089,Sp. Batang Kulur Kiri - Tatas,Sp. Batang Kulur Kiri - Tatas,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-089,Sp. Batang Kulur Kiri - Tatas,SP. Batang Kulur Kiri - Tatas,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-090,Taal Batang Kulur - Sp. 3 Muara Prg Agung,Taal Batang Kulur - Sp. 3 Muara Prg Agung,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-090,Taal Batang Kulur - Sp. 3 Muara Prg Agung,Taal Batang Kulur - SP.3 Muara Paring Agung,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-091,Batang Kulur Kanan - Sarangan,Batang Kulur Kanan - Sarangan,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-092,Bumi Berkat - Mungkur Galah,Bumi Berkat - Mungkur Galah,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-093,Taal Jarau - Sp. Baru/Tampang,Taal Jarau - Sp. Baru/Tampang,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-093,Taal Jarau - Sp. Baru/Tampang,Taal Jarau - SP. Baru/Tampang,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-094,Sungai Raya - Jambu Hulu/Paku,Sungai Raya - Jambu Hulu/Paku,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-095,Sungai Raya Selatan - Malutu - Goa Berangin,Sungai Raya Selatan - Malutu - Goa Berangin,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-096,Sp. 4 Baru/Tampang - Sp. Bilui Pamujaan,Sp. 4 Baru/Tampang - Sp. Bilui Pamujaan,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-096,Sp. 4 Baru/Tampang - Sp. Bilui Pamujaan,SP.4 Baru/Tampang - SP. Biluy Pamujaan,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-097,Asam Cangkuk - Telaga Bidadari,Asam Cangkuk - Telaga Bidadari,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-098,Hamalau - Pahampangan,Hamalau - Pahampangan,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-099,Ida Manggala - Padang Makmur,Ida Manggala - Padang Makmur,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-100,Simpang Hamalau - Teluk Pinang,Simpang Hamalau - Teluk Pinang,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-101,Teluk Pinang - Pahampangan Utara,Teluk Pinang - Pahampangan Utara,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-102,Hamalau - Telaga Bidadari - Wasah Hilir,Hamalau - Telaga Bidadari - Wasah Hilir,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-103,Karasikan - Sarang Halang,Karasikan - Sarang Halang,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-104,Tanjungan - Sp. 3 Sakijang,Tanjungan - Sp. 3 Sakijang,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-104,Tanjungan - Sp. 3 Sakijang,Tanjungan - SP.3 Sakijang,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-105,Sarang Halang Padang - Sp. Batang Kulur,Sarang Halang Padang - Sp. Batang Kulur,dashboard_2025,IMPORT_SEARCH_ONLY
