road_key,source_system,source_name
HSS-KAB-126,display,Sungai Namang - Ds. Tanah Bangkang
HSS-KAB-127,dashboard_2025,Jarau - Parandakan
HSS-KAB-127,qgis_county_roads,Jl. Jarau - Parandakan
HSS-KAB-127,display,Jarau - Parandakan
HSS-KAB-128,dashboard_2025,Mungkur Galah - Lokpaikat
HSS-KAB-128,qgis_county_roads,Jl. Mungkur Galah - Lokpaikat
HSS-KAB-128,display,Mungkur Galah - Lokpaikat
HSS-KAB-129,dashboard_2025,Batang Kulur Kanan - Bumi Berkat (Jl. Kisung)
HSS-KAB-129,qgis_county_roads,Batang Kulur Kanan - Bumi Berkat (Jl. Kisung)
HSS-KAB-129,display,Batang Kulur Kanan - Bumi Berkat (Jl. Kisung)
HSS-KAB-130,dashboard_2025,Batang Kulur Kanan - Batang Kulur Kiri
HSS-KAB-130,qgis_county_roads,Batang Kulur Kanan - Batang Kulur Kiri
HSS-KAB-130,display,Batang Kulur Kanan - Batang Kulur Kiri
HSS-KAB-131,dashboard_2025,Jl. Manggis - Ds. Baru
HSS-KAB-131,qgis_county_roads,Jl. Manggis
HSS-KAB-131,display,Manggis - Ds. Baru
HSS-KAB-132,dashboard_2025,Jl. TPA - Ds. Sungai Raya Selatan
HSS-KAB-132,qgis_county_roads,Jl. TPA Sungai Raya Selatan
HSS-KAB-132,display,TPA - Ds. Sungai Raya Selatan
HSS-KAB-133,dashboard_2025,Jl. Pembangunan - Ds. Sungai Raya Utara
HSS-KAB-133,qgis_county_roads,Jl. Pembangunan - Ds. Sungai Raya Utara
HSS-KAB-133,display,Pembangunan - Ds. Sungai Raya Utara
HSS-KAB-134,dashboard_2025,Jl. Kalaka Dayuh - Ds. Sungai Raya Utara
HSS-KAB-134,qgis_county_roads,Jl. Kalaka Dayuh - Ds. Sungai Raya Utara
HSS-KAB-134,display,Kalaka Dayuh - Ds. Sungai Raya Utara
HSS-KAB-135,dashboard_2025,Teluk Pinang - Padang Rasau
HSS-KAB-135,qgis_county_roads,Teluk Pinang - Padang Rasau
HSS-KAB-135,display,Teluk Pinang - Padang Rasau
HSS-KAB-136,dashboard_2025,Tanayung - Simp. Ambarai
