no,nama_ruas,nama_ruas_norm,desa_yang_dilalui,kecamatan_yang_dilalui,jumlah_desa_yang_dilalui,jumlah_kecamatan_yang_dilalui,jumlah_penduduk_dilayani,terhubung_ruas_provinsi,terhubung_ruas_nasional,jarak_pasar_m,jarak_puskesmas_m,jarak_rsud_m,jarak_sd_smp_m,jarak_ibukota_m,akses_terputus_ibukota,akses_terputus_pasar,akses_terputus_puskesmas,akses_terputus_rsud,akses_terputus_sd_smp,prior_handled_any_pre2024,prior_handled_count_pre2024,prior_handled_last_year_pre2024,years_since_last_handled_pre2024,prior_handled_any_pre2025,prior_handled_count_pre2025,prior_handled_last_year_pre2025,years_since_last_handled_pre2025,prior_handled_any_pre2026,prior_handled_count_pre2026,prior_handled_last_year_pre2026,years_since_last_handled_pre2026,handled_any_2021,handled_any_2022,handled_any_2023,handled_any_2024,handled_any_2025,handled_pl_2021,handled_pl_2022,handled_pl_2023,handled_pl_2024,handled_pl_2025,handled_tender_2021,handled_tender_2022,handled_tender_2023,handled_tender_2024,handled_tender_2025,planned_any_2026,planned_any_2027,planned_pl_2026,planned_pl_2027,planned_tender_2026,planned_tender_2027,source_ml_road_id
31,Bamban (Tibung) - Martajiwa,bamban tibung – martajiwa,Bamban,Angkinang,1,1,499,0,0,3513.6,1365.5,13272.8,739.2,11409.9,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,191
32,Bamban Selatan - Pakuan,bamban selatan – pakuan,"Angkinang, Bamban Selatan, Pakuan Timur","Angkinang, Telaga Langsat",3,2,1568,0,1,2719.8,2340.2,12479,1116.4,10616.1,0,0,0,0,0,1,1,2023,1,1,2,2024,1,1,3,2025,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,176
33,Bamban Selatan - Pakuan Balunan,bamban selatan – pakuan balunan,Bamban Selatan,Angkinang,1,1,447,0,1,3639.6,2038.8,13398.9,865.2,11536,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
34,Bamban Selatan - Tanggang - Panggang Hijau,bamban selatan – tanggang – panggang hijau,"Bamban, Bamban Selatan, Kayu Abang",Angkinang,3,1,1733,0,1,4613.6,2943.6,13008.9,1839.2,11146,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174
35,Bamban Tengah - Lok Nyiur,bamban tengah – lok nyiur,"Bamban, Kayu Abang",Angkinang,2,1,1286,0,1,3704,1555.9,13463.2,929.6,11600.3,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,181
36,Bamban Utara - Longawang,bamban utara – longawang,"Bamban Utara, Longawang, Pandulangan","Angkinang, Telaga Langsat",3,2,1579,0,1,4916.4,1098.2,14675.6,222.1,12812.7,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
37,Bangga TMMD,bangga,Telaga Bidadari,Sungai Raya,1,1,668,0,0,3386.3,3536.4,1759.6,1501.9,3431.5,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
38,Banua Hanyar - Ds. Tanjung Selor,banua hanyar – desa tanjung selor,"Banua Hanyar, Tanjung Selor","Daha Barat, Daha Selatan",2,2,1716,0,0,,,,,,1,1,1,1,1,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341
39,Banua Kambang - Ds. Wasah Tengah,banua kambang – desa wasah tengah,"Wasah Hulu, Wasah Tengah",Simpur,2,1,1057,0,1,2640.6,1440.1,3946.6,946.5,4542.4,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,243
40,Banyu Barau - Sei Kalang,banyu barau – sei kalang,Kandangan Barat,Kandangan,1,1,1874,0,1,2875.3,2807.9,4548,991.5,2685.1,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,2,2025,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,050
