road_key,road_geometry_id,source_road_code,source_object_id_nonunique,candidate_nomor_ruas,identity_match_status,display_name,village_count_spatial,villages_spatial,district_count_spatial,districts_spatial
HSS-KAB-085,hss-county-085,085,64,085,exact_normalized,Tajun - SP.3 Muara Paring Agung,4,Paring Agung; Sarang Halang; Sungai Kali; Sungai Raya Utara,1,Sungai Raya
HSS-KAB-086,hss-county-086,086,65,086,exact_normalized,Hamalau - Anjiran,2,Hamalau; Telaga Bidadari,1,Sungai Raya
HSS-KAB-087,hss-county-087,087,66,087,exact_normalized,Tanjungan - SP.10 Batang Kulur - Sungai Kali,8,Baru; Batang Kulur Kanan; Batang Kulur Kiri; Batang Kulur Tengah; Bumi Berkat; Paring Agung; Sungai Kali; Sungai Raya Selatan,1,Sungai Raya
HSS-KAB-088,hss-county-088,088,67,088,exact_normalized,Sungai Raya Selatan - Sarang Halang,2,Paring Agung; Sungai Raya Selatan,1,Sungai Raya
HSS-KAB-089,hss-county-089,089,68,089,exact_normalized,SP. Batang Kulur Kiri - Tatas,2,Batang Kulur Kiri; Batang Kulur Tengah,1,Sungai Raya
HSS-KAB-090,hss-county-090,090,69,090,treatment_engine_alias,Taal Batang Kulur - SP.3 Muara Paring Agung,3,Batang Kulur Tengah; Hariti; Sungai Kali,1,Sungai Raya
HSS-KAB-091,hss-county-091,091,71,091,exact_normalized,Batang Kulur Kanan - Sarangan,2,Batang Kulur Kanan; Ida Manggala,1,Sungai Raya
HSS-KAB-092,hss-county-092,092,72,092,exact_normalized,Bumi Berkat - Mungkur Galah,1,Bumi Berkat,1,Sungai Raya
HSS-KAB-093,hss-county-093,093,73,093,exact_normalized,Taal Jarau - SP. Baru/Tampang,3,Batang Kulur Kanan; Bumi Berkat; Ida Manggala,1,Sungai Raya
HSS-KAB-094,hss-county-094,094,74,094,exact_normalized,Sungai Raya - Jambu Hulu/Paku,4,Jambu Hulu; Pahampangan; Sungai Raya Utara; Tanah Bangkang,2,Padang Batung; Sungai Raya
HSS-KAB-095,hss-county-095,095,75,095,exact_normalized,Sungai Raya Selatan - Malutu - Goa Berangin,2,Malutu; Sungai Raya Selatan,2,Padang Batung; Sungai Raya
HSS-KAB-096,hss-county-096,096,76,096,treatment_engine_alias,SP.4 Baru/Tampang - SP. Biluy Pamujaan,7,Asam; Baru; Batang Kulur Kanan; Bumi Berkat; Simpur; Sungai Kali; Tamiyang,2,Simpur; Sungai Raya
HSS-KAB-097,hss-county-097,097,78,097,exact_normalized,Asam Cangkuk - Telaga Bidadari,3,Amawang Kanan; Telaga Bidadari; Wasah Hulu,3,Kandangan; Simpur; Sungai Raya
HSS-KAB-098,hss-county-098,098,83,098,exact_normalized,Hamalau - Pahampangan,2,Hamalau; Karasikan,1,Sungai Raya
HSS-KAB-099,hss-county-099,099,82,099,exact_normalized,Ida Manggala - Padang Makmur,2,Ida Manggala; Malutu,2,Padang Batung; Sungai Raya
HSS-KAB-100,hss-county-100,100,79,100,exact_normalized,Simpang Hamalau - Teluk Pinang,2,Hamalau; Karasikan,1,Sungai Raya
HSS-KAB-101,hss-county-101,101,79,101,exact_normalized,Teluk Pinang - Pahampangan Utara,2,Karasikan; Pahampangan,2,Padang Batung; Sungai Raya
HSS-KAB-102,hss-county-102,102,174,102,exact_normalized,Hamalau - Telaga Bidadari - Wasah Hilir,4,Hamalau; Kapuh; Telaga Bidadari; Wasah Hilir,2,Simpur; Sungai Raya
HSS-KAB-103,hss-county-103,103,89,103,exact_normalized,Karasikan - Sarang Halang,3,Karasikan; Sarang Halang; Telaga Bidadari,1,Sungai Raya
HSS-KAB-104,hss-county-104,104,90,104,exact_normalized,Tanjungan - SP.3 Sakijang,3,Paring Agung; Sarang Halang; Sungai Raya Selatan,1,Sungai Raya
HSS-KAB-105,hss-county-105,105,91,105,exact_normalized,Sarang Halang Padang - SP Batang Kulur,2,Paring Agung; Sungai Kali,1,Sungai Raya
HSS-KAB-106,hss-county-106,106,93,106,exact_normalized,Jl. Hamalau - Ganda,3,Baluti; Hamalau; Pahampangan,3,Kandangan; Padang Batung; Sungai Raya
