road_key,road_geometry_id,source_road_code,source_object_id,candidate_nomor_ruas,identity_match_status,display_name,district_id,district_name,intersection_length_m
HSS-KAB-095,hss-county-095,095,75,095,exact_normalized,Sungai Raya Selatan - Malutu - Goa Berangin,63.06.02,Padang Batung,3658.52
HSS-KAB-096,hss-county-096,096,76,096,treatment_engine_alias,SP.4 Baru/Tampang - SP. Biluy Pamujaan,63.06.01,Sungai Raya,3750.65
HSS-KAB-096,hss-county-096,096,76,096,treatment_engine_alias,SP.4 Baru/Tampang - SP. Biluy Pamujaan,63.06.06,Simpur,5.84
HSS-KAB-097,hss-county-097,097,78,097,exact_normalized,Asam Cangkuk - Telaga Bidadari,63.06.01,Sungai Raya,411.89
HSS-KAB-097,hss-county-097,097,78,097,exact_normalized,Asam Cangkuk - Telaga Bidadari,63.06.05,Kandangan,373.28
HSS-KAB-097,hss-county-097,097,78,097,exact_normalized,Asam Cangkuk - Telaga Bidadari,63.06.06,Simpur,43.78
HSS-KAB-098,hss-county-098,098,83,098,exact_normalized,Hamalau - Pahampangan,63.06.01,Sungai Raya,782.03
HSS-KAB-099,hss-county-099,099,82,099,exact_normalized,Ida Manggala - Padang Makmur,63.06.01,Sungai Raya,2830.83
HSS-KAB-099,hss-county-099,099,82,099,exact_normalized,Ida Manggala - Padang Makmur,63.06.02,Padang Batung,252.06
HSS-KAB-100,hss-county-100,100,79,100,exact_normalized,Simpang Hamalau - Teluk Pinang,63.06.01,Sungai Raya,684.24
HSS-KAB-101,hss-county-101,101,79,101,exact_normalized,Teluk Pinang - Pahampangan Utara,63.06.01,Sungai Raya,920.74
HSS-KAB-101,hss-county-101,101,79,101,exact_normalized,Teluk Pinang - Pahampangan Utara,63.06.02,Padang Batung,1296.63
HSS-KAB-102,hss-county-102,102,174,102,exact_normalized,Hamalau - Telaga Bidadari - Wasah Hilir,63.06.01,Sungai Raya,1527.01
HSS-KAB-102,hss-county-102,102,174,102,exact_normalized,Hamalau - Telaga Bidadari - Wasah Hilir,63.06.06,Simpur,3417.36
HSS-KAB-103,hss-county-103,103,89,103,exact_normalized,Karasikan - Sarang Halang,63.06.01,Sungai Raya,1893.27
HSS-KAB-104,hss-county-104,104,90,104,exact_normalized,Tanjungan - SP.3 Sakijang,63.06.01,Sungai Raya,1594.81
HSS-KAB-105,hss-county-105,105,91,105,exact_normalized,Sarang Halang Padang - SP Batang Kulur,63.06.01,Sungai Raya,2108.8
HSS-KAB-106,hss-county-106,106,93,106,exact_normalized,Jl. Hamalau - Ganda,63.06.01,Sungai Raya,766.99
HSS-KAB-106,hss-county-106,106,93,106,exact_normalized,Jl. Hamalau - Ganda,63.06.02,Padang Batung,24.91
HSS-KAB-106,hss-county-106,106,93,106,exact_normalized,Jl. Hamalau - Ganda,63.06.05,Kandangan,375.48
HSS-KAB-107,hss-county-107,107,2465,107,exact_normalized,Jl. Tamiyang - Ds. Tamiyang (Eks TMMD),63.06.01,Sungai Raya,2031.77
HSS-KAB-108,hss-county-108,108,96,108,exact_normalized,Jl. Tanah Bangkang Menuju Balai Benih Ikan,63.06.02,Padang Batung,658.12
HSS-KAB-109,hss-county-109,109,98,119,exact_normalized,Jl. Karang Intan - Tanah Bangkang,63.06.01,Sungai Raya,1115.26
HSS-KAB-110,hss-county-110,110,99,110,exact_normalized,Jl. Haritas (PT. Pertani),63.06.01,Sungai Raya,651.3
HSS-KAB-111,hss-county-111,111,101,111,exact_normalized,Paharuangan - Sungai Raya Selatan,63.06.01,Sungai Raya,1954.58
HSS-KAB-112,hss-county-112,112,102,112,exact_normalized,Jl. Bangga TMMD,63.06.01,Sungai Raya,789.44
HSS-KAB-113,hss-county-113,113,1004,113,exact_normalized,Jl. Batang Kulur Kiri - Durian Landung,63.06.01,Sungai Raya,547.15
HSS-KAB-114,hss-county-114,114,104,114,exact_normalized,Jl. Taminung,63.06.01,Sungai Raya,2026.52
HSS-KAB-115,hss-county-115,115,55,115,exact_normalized,Jl. Matang Gadung - Halalang,63.06.01,Sungai Raya,412.6
HSS-KAB-116,hss-county-116,116,325,116,exact_normalized,Jl. Sungai Raya Utara-Teluk Pinang,63.06.01,Sungai Raya,1701.2
HSS-KAB-117,hss-county-117,117,341,,unresolved,Jl. Mangunang,63.06.01,Sungai Raya,700.31
HSS-KAB-118,hss-county-118,118,340,118,exact_normalized,Hamalau - Asam Cangkok,63.06.01,Sungai Raya,870.72
HSS-KAB-118,hss-county-118,118,340,118,exact_normalized,Hamalau - Asam Cangkok,63.06.05,Kandangan,561.05
HSS-KAB-119,hss-county-119,119,97,119,exact_normalized,Jl. Hariti - Sungai Raya Selatan,63.06.01,Sungai Raya,2650.54
HSS-KAB-120,hss-county-120,120,651,120,exact_normalized,Mangaris - Limau Manis,63.06.01,Sungai Raya,4101.66
HSS-KAB-121,hss-county-121,121,99,121,exact_normalized,Jl. Munggu Raya - Ds. Hariti,63.06.01,Sungai Raya,462.08
HSS-KAB-122,hss-county-122,122,0,122,exact_normalized,Paharuangan - Asam Dua,63.06.01,Sungai Raya,898.15
HSS-KAB-123,hss-county-123,123,2465,123,exact_normalized,Asam Seranggan - Asam Tamiyang,63.06.01,Sungai Raya,1021.48
HSS-KAB-124,hss-county-124,124,99,124,exact_normalized,Jl. Papancan - Ds. Tanah Bangkang,63.06.01,Sungai Raya,791.24
HSS-KAB-124,hss-county-124,124,99,124,exact_normalized,Jl. Papancan - Ds. Tanah Bangkang,63.06.02,Padang Batung,672.95
HSS-KAB-125,hss-county-125,125,2458,,unresolved,Jl. Baru - Asam Desa Baru/Asam,63.06.01,Sungai Raya,1317.9
HSS-KAB-126,hss-county-126,126,99,126,exact_normalized,Jl. Sungai Namang - Ds. Tanah Bangkang,63.06.01,Sungai Raya,731.16
HSS-KAB-127,hss-county-127,127,99,127,exact_normalized,Jl. Jarau - Parandakan,63.06.01,Sungai Raya,700.85
HSS-KAB-128,hss-county-128,128,99,128,exact_normalized,Jl. Mungkur Galah - Lokpaikat,63.06.01,Sungai Raya,709.63
HSS-KAB-129,hss-county-129,129,0,129,exact_normalized,Batang Kulur Kanan - Bumi Berkat (Jl. Kisung),63.06.01,Sungai Raya,1608.42
HSS-KAB-130,hss-county-130,130,99,130,exact_normalized,Batang Kulur Kanan - Batang Kulur Kiri,63.06.01,Sungai Raya,810.76
HSS-KAB-131,hss-county-131,131,0,,unresolved,Jl. Manggis,63.06.01,Sungai Raya,1282.42
HSS-KAB-132,hss-county-132,132,0,,unresolved,Jl. TPA Sungai Raya Selatan,63.06.01,Sungai Raya,862.75
HSS-KAB-133,hss-county-133,133,341,133,exact_normalized,Jl. Pembangunan - Ds. Sungai Raya Utara,63.06.01,Sungai Raya,947.76
HSS-KAB-134,hss-county-134,134,341,134,exact_normalized,Jl. Kalaka Dayuh - Ds. Sungai Raya Utara,63.06.01,Sungai Raya,431.55
HSS-KAB-135,hss-county-135,135,88,135,exact_normalized,Teluk Pinang - Padang Rasau,63.06.02,Padang Batung,46.56
HSS-KAB-135,hss-county-135,135,88,135,exact_normalized,Teluk Pinang - Padang Rasau,63.06.05,Kandangan,2130.6
HSS-KAB-136,hss-county-136,136,105,136,treatment_engine_alias,Tanayung - Simpang Ambarai,63.06.02,Padang Batung,1607.1
HSS-KAB-137,hss-county-137,137,106,137,exact_normalized,Tabihi - Telaga Langsat,63.06.02,Padang Batung,5107.98
HSS-KAB-137,hss-county-137,137,106,137,exact_normalized,Tabihi - Telaga Langsat,63.06.03,Telaga Langsat,3543.23
HSS-KAB-138,hss-county-138,138,108,138,exact_normalized,Karang Jawa - Ambarai - Sungai Bungur,63.06.02,Padang Batung,4038.37
HSS-KAB-139,hss-county-139,139,109,149,exact_normalized,Ambarai - Madang,63.06.02,Padang Batung,1738.62
HSS-KAB-140,hss-county-140,140,133,140,treatment_engine_alias,Padang Batung - Batu Laki - Malilingin,63.06.02,Padang Batung,8845.33
HSS-KAB-141,hss-county-141,141,133,141,exact_normalized,Malilingin - Lokbahan - Paniungan,63.06.02,Padang Batung,10650.71
HSS-KAB-142,hss-county-142,142,164,142,exact_normalized,Mawangi - Bukuanin - Telaga Langsat,63.06.02,Padang Batung,5718.81
HSS-KAB-142,hss-county-142,142,164,142,exact_normalized,Mawangi - Bukuanin - Telaga Langsat,63.06.03,Telaga Langsat,8505.53
HSS-KAB-143,hss-county-143,143,113,143,exact_normalized,Mandapai - Madang,63.06.02,Padang Batung,5813.18
HSS-KAB-144,hss-county-144,144,114,144,exact_normalized,Kaliring - SP. Padang Batung,63.06.02,Padang Batung,4520.86
HSS-KAB-145,hss-county-145,145,81,145,exact_normalized,Pagar Haur - Malutu,63.06.02,Padang Batung,216.89
HSS-KAB-146,hss-county-146,146,400,146,exact_normalized,Simpang Malutu - Pahampangan,63.06.01,Sungai Raya,1010.08
HSS-KAB-146,hss-county-146,146,400,146,exact_normalized,Simpang Malutu - Pahampangan,63.06.02,Padang Batung,4302.1
HSS-KAB-147,hss-county-147,147,118,147,exact_normalized,Simpang Malutu - Tambak,63.06.02,Padang Batung,2859.08
HSS-KAB-148,hss-county-148,148,119,148,exact_normalized,Pagat Batu - Muara Hariang,63.06.02,Padang Batung,3266.66
HSS-KAB-149,hss-county-149,149,121,159,exact_normalized,Paku (Jambu Hulu) - Ganda,63.06.02,Padang Batung,451.58
HSS-KAB-149,hss-county-149,149,121,159,exact_normalized,Paku (Jambu Hulu) - Ganda,63.06.05,Kandangan,1427.02
HSS-KAB-150,hss-county-150,150,123,150,exact_normalized,SP.3 Bukuanin - Riam Talo,63.06.02,Padang Batung,2459.39
HSS-KAB-150,hss-county-150,150,123,150,exact_normalized,SP.3 Bukuanin - Riam Talo,63.06.10,Loksado,655.84
HSS-KAB-151,hss-county-151,151,167,151,exact_normalized,SP.3 Bukuanin - Tayub,63.06.02,Padang Batung,3376.77
HSS-KAB-152,hss-county-152,152,122,152,exact_normalized,Madang - Ambutun,63.06.02,Padang Batung,2519.15
HSS-KAB-152,hss-county-152,152,122,152,exact_normalized,Madang - Ambutun,63.06.03,Telaga Langsat,413.41
HSS-KAB-153,hss-county-153,153,125,153,exact_normalized,Jl. Monumen 17 Mei - Mandapai,63.06.02,Padang Batung,60.6
